"Title","Content","Rating","Date","Author","Country","ReviewsCount"
"Ce tracker de santé est incroyable","Ce tracker de santé est incroyable, et le meilleur, c'est qu'il n'y a pas d'abonnement. Le suivi du stress est une super fonctionnalité, et l'application fournit de nombreuses données utiles","5","2025-02-05T15:22:26.000Z","Brian","FR","1.0"
"Le suivi du sommeil avec cette bague…","Le suivi du sommeil avec cette bague est très impressionnant. Elle fournit des données détaillées, et elle est si confortable que je ne la remarque même pas quand je la porte","5","2025-02-05T06:58:51.000Z","Jeremy","FR","1.0"
"J'ai acheté cette bague il y a quelques…","J'ai acheté cette bague il y a quelques mois, et elle est devenue un excellent ajout à ma routine. Le suivi du sommeil est détaillé, et l'application regorge de données utiles","5","2025-02-05T06:11:28.000Z","Adam","FR","1.0"
"J'utilise la Circular Ring Slim tous…","J'utilise la Circular Ring Slim tous les jours, et c'est fantastique. Elle est légère, confortable, et suit ma santé parfaitement. Les fonctionnalités de l'application sont également excellentes","5","2025-02-04T19:47:51.000Z","Jerry","FR","1.0"
"Je suis satisfait de mon expérience…","Je suis satisfait de mon expérience avec cette bague. Elle est incroyablement légère, suit mes données de santé correctement, et l'application est pleine de fonctionnalités","5","2025-01-22T21:20:06.000Z","Bruce","FR","1.0"
"Le design de cette bague est élégant et…","Le design de cette bague est élégant et si léger. Elle suit ma fréquence cardiaque et mon SpO2 avec précision, et l'application est un outil utile pour le bien-être","5","2025-01-22T19:14:37.000Z","Aaron","FR","1.0"
"La bague est facile à porter","La bague est facile à porter, et l'autonomie de la batterie est correcte, elle dure plusieurs jours. Elle est légère, élégante et parfaite pour une utilisation quotidienne","5","2025-01-21T19:54:31.000Z","Benjamin","FR","1.0"
"Cette bague est très fine et facile à…","Cette bague est très fine et facile à porter toute la journée. Elle suit la fréquence cardiaque et le sommeil avec précision, et les exercices de respiration guidée sont vraiment utiles","5","2025-01-21T15:47:10.000Z","Joshua","FR","1.0"
"Cela a tout d'une arnaque","--------------------------------------------------------------
Mise à jour du 31 Mars:
--------------------------------------------------------------
Procédure de médiation conso et répression des fraudes enclenchées.
À noter que l'entreprise est en redressement judiciaire depuis Août 2024.

--------------------------------------------------------------
Mise à jour du 21 Février:
--------------------------------------------------------------
Toujours pas reçu de remboursement malgré relance il y a un mois, par contre je reçois bien le spam sur la nouvelle bague.
Des promesses rien que des promesses.
Si d'ici un mois rien ne bouge je vais contacter la DGCCRF et le médiateur conso.

--------------------------------------------------------------
Évaluation du 20 Janvier ci-dessous
--------------------------------------------------------------

Je ne relate pas les innombrables échanges par mail entre chaque étape parce que ça sera trop long sinon.

2024:
Février: commande
Mai: réception
Septembre: la bague est déjà hors service
Novembre: remplacement annoncé par le support
Décembre: toujours pas de remplacement, le support annonce un remboursement

2025:
À ce jour, 20 janvier 2025 toujours pas remboursé malgré de multiples relances, je me décide à faire un retour trustpilot.
Le support est réactif mais on finit par se dire que ce n'est qu'une façade et qu'il n'y a rien derrière.

Je mettrai à jour quand je serai enfin remboursé.

À noter que les avis positifs ci-dessous sont de toute évidence des faux, ça saute aux yeux quand on prend le temps de les lire.","1","2025-03-31T14:17:08.000Z","David","FR","1.0"
"A fuir","A fuir. La bague ne fonctionne pas et après un retour demandé AUCUN remboursement. Cela fait UN AN que j'attends et que l'on me promet d'accélérer le remboursement !

Suite à la réponse de Circular : c'est exactement ce que l'on me répond à tous mes mails depuis un an !","1","2025-01-20T17:56:31.000Z","SB","FR","2.0"
"ARNAQUE TOTALE !!","ARNAQUE TOTALE !!!
A FUIR !!! J'ai payé ma bague il y a 3 ans... ! Vous vous rendez compte ? suite à non réception de ma bague après 2 ans j'ai demandé un remboursement. Et cela fait 1 an qu'ils me baladent à me dire ""Nous sommes en train de résoudre le souci et faisons le nécessaire pour accélérer le processus"", mais RIEN. Aucun remboursement à l'horizon DEPUIS 1 AN. Ce sont des manipulations pour ne rien rembourser...
NE LEUR FAITES PAS CONFIANCE !!!","1","2025-01-15T01:48:54.000Z","Arielle","FR","3.0"
"Du nouveau dans ma situation","Du nouveau dans ma situation, ils me remboursent 164.06 euros au lieu des 254.06.
Bon je leur aI rappelé certains articles des codes de la consommation et du code civil.
Ils sont vraiment magique.... Ou sont passé les 90 euros manquant ?
J'ose espérer qu'ils vont revoir leur copie avant que je passe à l'étape supérieure.
Le SAV est assez réactif mais je pense bien bridé par leur direction.
PASSEZ NEANMOINS VOTRE CHEMIN","1","2025-01-14T22:40:05.000Z","Stephane Letailleur","FR","7.0"
"FUYEZ Circular Ring Slim v1 !!! Allez perdre temps et argent ailleurs","Bague Circular Slim v1 267,80€ commandée le 21/02/2024, reçue 13/05/2024 avec promesse de livraison d'un 2ème chargeur pour avoir autant attendu... mais chargeur jamais reçu, et bague totalement HS le 18/10/2024 /!\ Multiples échanges dilatoires avec le bot Relna (ou ça répond comme tel) entre le 19/10/2024 et le 19/12/2024 et depuis plus de son ni d'image.... Seulement 2 mails reçus avec remise gracieuse annoncée d'env. 85% (?) pour remettre 100€ dans leur bague v2 lorsqu'elle sera commercialisée...(et v1 annoncée abandonnée au passage). Mais de qui se moque t'on s'agissant d'un SAV pour un objet attendu 3 mois et qui a fonctionné 5 mois ?! FUYEZ !!!","1","2025-01-11T14:12:42.000Z","Guillaume A.","FR","9.0"
"Pire expérience client","Bonjour
Produit commandé en Novembre 2023, reçu en Janvier 2024. A totalement cessé de fonctionner le 20/02/2024, après plusieurs échanges avec le service client ça refonctionne le 26/02. Produit fonctionne de manière défectueuse a partir du 27/05, après de très nombreux échanges avec le support et renvoi du produit pour analyse, il est finalement échangé le 03/09/2024.
Produit cesse totalement de fonctionner le 08/11/2024, nombreux échanges en cours avec le support, pas de résolution a date.
Circular (produit et support) est ma pire expérience client","1","2025-01-03T22:28:30.000Z","Philippe Luttringer","FR","1.0"
"Compagnie médiocre, lente avec service à la clientèle pourri.","J'ai acheté une bague en juin 2023, pour atteindre 6 mois de livraison, pour avoir une bague qui était défectueuse et qui a durée quelques semaines seulement. Maintenant, cela fait maintenant plus d'un an que j'attends après ma bague de remplacement et Circular m'invente toutes sortes de conneries. La compagnie est médiocre. Personne ne va acheter de cette petite entreprise dans mes contacts. Je n'ai jamais vu une compagnie aussi pathétique. À noter que la date (de l'expérience ci bas, n'est pas bonne, car je ne pouvais pas aller plus loin que le 32 décembre 2023 !","1","2024-12-31T14:59:13.000Z","sam boucher","CA","1.0"
"Un SAV déplorable","Un SAV déplorable

Après plus d'un mois d'attente, je n'ai jamais reçu le produit. Les soucis de livraison et de logistique existent, je ne leur en tiens pas rigueur !

Le vrai problème est le service après-vente !

Personne n'a jamais été capable de donner une date approximative de livraison !
Les réponses se contredisent les unes les autres et n'étaient que des copier-coller de messages prérédigés qui ne veulent rien dire !

Après deux semaines de palabres inutiles, ils ont enfin consenti à me rembourser l'achat !
Mais je me suis retrouvé sans cadeau à offrir le soir de Noël.

Le produit est certainement de qualité, mais cela ne fait pas tout. Une grosse remise en question est à prévoir !","1","2024-12-28T13:17:14.000Z","Flo","FR","1.0"
"Bague Circular jamais vue (pas expédiée, mais règlement encaissé)","Bague connectée commandée le 8 novembre dernier 2024, expédition toujours repoussée pour de multiples raisons fallacieuses. et toujours pas expédiée le 27 décembre 2024, et encore moins reçue. Ils ne savent qu'envoyer des courriels de report et retard pour diverses raisons.
Annulé la commande ce jour 27/12/2024. en attendant un remboursement complet, car commande non exécutée.","1","2024-12-27T16:43:24.000Z","Gnb","FR","23.0"
"À fuir de toute urgence","À fuir de toute urgence ! J’ai repéré cette entreprise dans la célèbre émission de M6. Le concept et le produit m’ont vraiment emballée. J’ai attendu longtemps qu’ils se développent Et mettent en vente la bague. J’y croyais vraiment beaucoup. J’ai donc fait l’achat de ma bague en novembre 2022 pour une livraison prévue en mai 2023. Les choses ont de suite mal commencé, sachant que ma bague a été livrée avec plus de six mois de retard. La taille n’était pas bonne en plus, car entre deux tailles, Je l’ai perdue. J’en ai donc rachetée une autre, Encore une fois en leur faisant confiance. Et depuis ce jour, le cauchemar. Je n’ai eu que des soucis. Le prix de la bague déjà conséquent, et j’avais acheté en plus la garantie exprès. Quand ce n’était pas la bague qui ne se synchronise plus avec l’application, C’était des problèmes de fonctionnement et de mesure des informations de santé ( un peu le but principal ) , Bref, il y avait toujours des problèmes. Et cela mettait des semaines à être résolu. En tout, on m’a changé quatre fois la bague, et à chaque fois il y a eu des problèmes et elles ne fonctionnait plus, je crois que je l’ai utilisé au maximum un mois consécutif . Entre le service client et les 25 opérateurs différents auquel l’on a affaire et qui répondent chacun une version différente, c’est la catastrophe. Je demande un remboursement car j’en ai plus qu’assez d’avoir payé presque 300 € pour un produit que je ne peux pas utiliser, On me répond qu’ils sont prêts à m’envoyer le nouveau prototype de la bague en me faisant un rabais, mais que je dois rajouter 100 € de ma poche le comble !!! Je leur maintiens que je veux un remboursement, Cela fait plus d’un mois que ça dure, et je n’ai toujours pas été remboursée. Ils essayent de gagner du temps, ils me sortent toutes les excuses du monde, D’abord c’est parce qu’il y a trop de demandes de remboursement en même temps, ensuite c’est parce que si ensuite c’est parce que ça.. On m’a promis un remboursement au 26 décembre 2024 maximum. Je sens gros comme une maison que je ne l’aurais pas d’ici là. On m’écrit pour me demander une demande de remboursement PayPal alors que j’ai payé par carte bancaire. J’ai quand même fait une demande de remboursement PayPal pour le montant entier auquel j’ai acheté la bague et j’attends toujours à ce jour… C’est une honte !! Bref produit, déplorable, service client déplorable, si je n’ai pas mon remboursement rapidement, je saisis la justice et les associations de consommateur et j’irai jusqu’au bout. Cela n’a que trop duré ! Il faut arrêter de se payer la tête des gens","1","2024-12-24T16:03:56.000Z","Priscilla Egloff","FR","1.0"
"Cette bague rend le suivi de ma santé …","Cette bague rend le suivi de ma santé amusant et simple. J'adore sa légèreté, et I'application est remplie de fonctionnalité s utiles.","5","2024-12-05T20:50:49.000Z","Gaspard","FR","1.0"
"","Je fais partie des contributeurs de la première heure, ceux qui ont cru en votre vision, qui ont investi non seulement de l’argent, mais de la confiance. En retour, nous avons eu droit à quo... Voir plus","1","2025-07-30T21:50:32.000Z","","",""
"","J’aime le fait qu’il n’y ait pas besoin d’abonnement. La bague et l’application fonctionnent parfaitement ensemble, et j’obtiens toutes les informations dont j’ai besoin sans frais supplémentaires.","5","2025-06-18T02:55:40.000Z","","",""
"","Bague qui a fonctionner 2 ou 3jours. Service client contacté dans la foulée Garantie #S-92183. Aucune réactivité. Apres 8mois d'échange, ils me demandent de renvoyer la bague pour remboursement.... Voir plus","1","2025-05-14T12:00:38.000Z","","",""
"","Une version slim qui fait clairement la différence, fiable et discrète. Niveau software : les phases de sommeil ne sont pas toujours bien détectées (surtout pour l'éveil). En attente d'une synch... Voir plus","4","2024-03-27T15:42:19.000Z","","",""
"Avec cette bague","Avec cette bague, rester en bonne santé semble facile. Elle est super légère, précise, et I'application me donne toutes les informations don't j'ai besoin.","5","2024-12-05T09:11:05.000Z","Lysandra","FR","1.0"
"La Circular Ring Slim s'intègre…","La Circular Ring Slim s'intègre parfaitement à mon mode de vie. Elle est élégante, suit ma condition physique sans effort, et I'application est bien conçue.","5","2024-12-04T20:41:26.000Z","Célestin","FR","1.0"
"Depuis que j'utilise cette bague","Depuis que j'utilise cette bague, je me sens plus en phase avec me santé. Elle est confortable à porter, et I'application fournit des données précises et détaillées.","5","2024-12-04T10:36:53.000Z","Aimé","FR","1.0"
"Marceau","Quand j'ai acheté cette bague, je ne m'attendais pas à grand- chose, mais elle s'est révélée i incroyable. L'application fournit des mises à jour claires, et la bague est très confortable.","5","2024-12-02T11:29:16.000Z","Eric","FR","1.0"
"J'utilise cette bague depuis des…","J'utilise cette bague depuis des semaines, et je ne peux plus m'en passer. Elle est égère, élégante, et fournit des rapports détaillés sur ma santé via I'application.","5","2024-12-01T15:49:43.000Z","Violette","FR","1.0"
"Mon parcours fitness est devenu…","Mon parcours fitness est devenu tellement plus facile grâce â cette bague. Elle suit tout parfaitement, et I'application me motive â rester actif.","5","2024-11-27T12:43:36.000Z","Léandre","FR","1.0"
"Fuyez","Achat de la première bague Circular, arrivé 6 mois en retard. Jusque là ok... Mais la bague était défectueuse. Après avec bataillé pendant des mois, ils n'ont pas accepté de me rembourser et m'ont envoyé une seconde bague sans mon consentement (alors que je n'était pas intéressée). Aujourd'hui en novembre 2024 je bataille depuis janvier 2024 pour me faire rembourser le prix initiale de la bague. Je suis prête à renvoyer les bagues.

- ils ignorent vos mails
- disent qu'il vous rembourseront à la 14eme semaine de l'année (on est en novembre incroyable)
- puis ils annulent vos demande de remboursement Paypal
- a ce jour, 51 mails et aucun remboursement, honteux non Circular?

FUYEZ SIMPLEMENT, car s'il arrive quelque chose, vous n'aurez pas de service client.

Pour ma part, c'est une mise en demeure de ma part qu'il vont très prochainement recevoir si la situation ne se règle pas.","1","2024-11-26T20:09:05.000Z","Célia GUILBOT","FR","7.0"
"Un ami m'a recommandé cette bague","Un ami m'a recommandé cette bague, et je suis tellement content de I'avoir écouté. Elle est légére, élégante, et rend le suivi de la santé trés simple avec I'applications.","5","2024-11-24T21:55:15.000Z","Noéline","FR","1.0"
"Ma routine de santé quotidienne s'est…","Ma routine de santé quotidienne s'est tellement améliorée avec cette bague. Elle est fiable, la batterie dure longtemps, et I'application est très informative.","5","2024-11-24T21:48:07.000Z","Séraphine","FR","1.0"
"Je n'ai pas réalisé à quel point…","Je n'ai pas réalisé à quel point j'avais besoin de cette bague avant de commencer à l'utiliser. Elle est incroyablement légére, et I'application me donne toutes les informations sur ma santé.","5","2024-11-24T21:39:15.000Z","Cyprien","FR","1.0"
"Maëlys","Au début, j'étais sceptique, mais cette bague m'a convaincu. Elle est confortable, suit tout ce dont j,ai besoin. et I'application fournit des statistiques claires.","5","2024-11-22T17:42:38.000Z","Celeste Jarvis","FR","1.0"
"NE PAS ACHETER","2d avis pour commenter la réponse de Circular à mon 1ier avis.
Circular me fait cette réponse depuis plusieurs mois sans jamais me rembourser.
Comment vont-ils me rembourser à partir de mon 1ier avis sachant qu'il n'y a aucune référence permettant de traiter mon dossier.
Je réaffirme mon conseil de ne pas acheter de produits à cette entreprise sous peine de perdre votre argent","1","2024-11-20T19:34:53.000Z","Aqui","FR","2.0"
