"Title","Content","Rating","Date","Author"
"Almost perfect","The ringconn gen 2 air is almost perfect. The bad thing is the step counter that is way off the reality.","","2025-06-06T15:44:52.000Z",""
"Easy to use and been reliable the first…","Easy to use and been reliable the first month!","","2025-06-06T15:07:08.000Z",""
"I love this ring battery life is long","I love this ring battery life is long , step accuracy is not the greatest but still good , I love the sleep analysis very thorough overall I give this ring a 5 start","","2025-06-06T14:14:41.000Z",""
"The ring doesn’t accurately track","The ring doesn’t accurately track. It is a waste of money! Just go and get an apple watch for the money and accuracy.","","2025-06-06T14:01:08.000Z",""
"Outstanding Product","Outstanding product - yes, would buy again!","","2025-06-06T13:14:52.000Z",""
"Inaccurate","After using the RingConn Gen2 for one week I find it to be inaccurate in many aspects particularly step count as compared to both my Apple Watch and iPhone. I also found that the O2 saturation levels were inaccurate as compared to my pulse oximeter. It did not detect nap times either. Although it is an attractive ring I’m questioning its accuracy in other areas as well.","","2025-06-06T11:36:19.000Z",""
"Excellent.","Date of experience: April 25, 2025","","2025-06-06T10:53:12.000Z",""
"Love it","Having used smart rings for many years this is so far my favourite. Ring looks nice. App has clear UI. No BS monthly fee or subscription required to access ur data","","2025-06-06T05:27:50.000Z",""
"It's early but overall very satisfied","Over all I am very satisfied with the ring. It doesn't have more bells & whistles than necessary. I wish the app was a bit more customizable. I talked to customer service a couple of times for clarification- first time the representative made me feel very confident that the answers they gave were correct. Second time a little different experience but not enough to keep me from ordering. My questions were if the actual ring was the same size as the sizing kit or slightly smaller or bigger. Told slightly smaller, when I got the ring it was actually slightly bigger, very slightly. I went with the size that the sizer was slightly difficult to get over my knuckle. Would have preferred a 1/2 size but informed not available, doesn't hurt to ask. Actual ring slides a bit too easy a 1/2 size smaller would have been perfect.
Look forward using this for a lot longer than I used my Fitbit charge6.","","2025-06-06T01:57:43.000Z",""
"Great ring overall! Just needs some improvements in monitoring workouts.","This has been a great smart ring! The price is right and I love that the app and plethora of data are both free. The first ring I received was not tracking vitals properly, but RingConn was responsive and sent a replacement ring (it did take a couple of weeks). This ring has been consistently tracking data and I love how many graphs are provided for interpretation. It seems to do a good job with step tracking (at least for trends), but it struggles to accurately monitor my heart rate during rowing workouts. I have automatic workout mode detection on and even set it to an indoor cycling workout, but my heart rate is rarely registers above 110 bpm. It does much better during running workouts.

Women’s health cycle tracking was one of my main reasons for purchasing. It’s very simple, but temperature shifts was all I needed, so this does the job just fine.

Overall, I would definitely recommend the ring!","","2025-06-05T21:53:46.000Z",""
"My new ring works great","My new ring works great. Its just like it was advertised to be. I'm very happy.","","2025-06-04T20:50:56.000Z",""
"Love the ring!!","Love the ring! This is my 2nd one and would buy it again! Only thing that I would change is I wish I could disable the period tracker. But that's it.
All the other information is great and I use it to stay on top of my health as much as possible!!","","2025-06-04T18:30:48.000Z",""
"Room for accuracy improvement","I think the sleep tracking is accurate along with stress. The heart rate is terrible. i did an intense HIIT cycle workout for 15 minutes where I know it is burning at least 100 calories and my ring said it burned 7... and the my BPM is like 75. So that's frustrating that the calorie burn is not accurate and I can't return it even if I wanted to.","","2025-06-04T17:12:39.000Z",""
"ring does not count properly steps","ring does not count properly steps. It has huge difference to benchmark devices (like watch, etc) by approximately 20-30% more steps! I compared for already 2 weeks and nothing improves.","","2025-06-04T16:17:56.000Z",""
"Love it","I love my ring, easy to wear and comfortable. The data is quite accurate beside the period tracker, hence why a four star. The period tracker is a bit off for me and there’s no way to see all the symptoms you’ve put and go back quickly to see them. Maybe it is different for others. Otherwise I absolutely love it. I would loooveeee to have new things on it like caffeine window, hopefully soon ☺️","","2025-06-04T14:58:00.000Z",""
"Very responsive and super helpful","Very responsive and super helpful. Having to monitor for several weeks before any action could be completed though was a little difficult.","","2025-06-04T14:56:50.000Z",""
"Blows the competition out of the water!","Blows the competition out of the water!
The battery life is amazing, only have to charge one every 9 days and it takes about an hour. The fit is great, it's not too thick of a ring and feels and looks great on your finger. My one and only flaw is that it scratches very easily, but I wear this sucker to do everything so that may be on me :)","","2025-06-04T14:49:42.000Z",""
"The ring itself is wonderful","The ring itself is wonderful, good metrics, good quality, weight and size. The app is fine too, but i think the AI Partner could be more helpful and personal.","","2025-06-04T14:47:14.000Z",""
"Please include workouts from Apps Like…","Please include workouts from Apps Like ErgData. Ring works Fine!!!","","2025-06-04T13:22:03.000Z",""
"","Many things to like about this ring - comfortable, excellent battery life, free app with great info, overall performs it consistently well. I like the workout tracking for walking/running and how it sSee more","","2025-06-09T13:19:18.000Z",""
"","Love the ring for the most part. The exercise category could use some improvement. There’s not many exercises to choose from (run, walk, cycle) and it does not transfer data from Apple health. It lookSee more","","2025-06-09T12:04:32.000Z",""
"","After using the RingConn Gen2 for one week I find it to be inaccurate in many aspects particularly step count as compared to both my Apple Watch and iPhone. I also found that the O2 saturation levels See more","","2025-06-06T11:36:19.000Z",""
"","The RingConn rings are working wonderfully! Long battery life and pretty accurate readings compared to our pixel 3 watches. We both have sleep Apnea and the incite into our sleep history is very helpfSee more","","2025-05-29T17:54:31.000Z",""
"My wife loves her RingConn","My wife loves her RingConn. The app works great with quick and accurate information, no monthly fees, and the sleek design makes the ring easy to wear all the time. I purchased this for her for mothers day and it was a hit. Would recommend 100% 👌","","2025-06-04T13:11:25.000Z",""
"Great customer service","Great customer service, a little slow getting back to me but overall great and solved my issues","","2025-06-03T17:51:03.000Z",""
"I love the ring and the company was…","I love the ring and the company was easy to work with!","","2025-06-03T12:29:55.000Z",""
"It fits great on my finger","It fits great on my finger. It has helped me walk more and be more active","","2025-06-02T16:47:46.000Z",""
"Great product","Great product, decent response time from customer service.","","2025-06-02T11:03:54.000Z",""
"Fen2 upgrade","Great service in exchanging my Gen1 ring against a Gen2 upgrade.","","2025-06-02T07:02:06.000Z",""
"Great product","Great shopping experience. Received my ring quickly. I just adore it. I love everything about it from tracking my steps to my vitals and sleep. It is very comfortable, I don’t even realize it is on. So glad that I bought it. It definitely helps me stay motivated and more in tune with my body.","","2025-05-31T17:56:20.000Z",""
"Easy to use","Easy to use, setup and delivers everything it promised","","2025-05-30T15:53:08.000Z",""
"Love this ring and battery life!","Date of experience: April 18, 2025","","2025-05-30T13:41:42.000Z",""
"Very good second experience…","Very good like the previous experience when I bought the gen 1❤️","","2025-05-30T08:32:45.000Z",""
"Quick Support","Ordered the Gen 2 Air first, but while waiting for the sizing kit to arrive I decided to go with the Gen 2. Contacted support was able to quickly get a response got the Air cancelled and the Gen 2 ordered.","","2025-05-29T19:07:54.000Z",""
"The RingConn rings are working…","The RingConn rings are working wonderfully! Long battery life and pretty accurate readings compared to our pixel 3 watches. We both have sleep Apnea and the incite into our sleep history is very helpful! Now, only if the rings could link to our adjustable beds to raise or lower would be even more helpful in getting a good night's rest!","","2025-05-29T17:54:31.000Z",""
"Looooooove my ring","Looooooove my ring! I switched from an Apple Watch and it was the best decision ever. My watch was dying all the time and I truly was over getting notifications on my wrist all day but enjoyed the health tracking aspects so kept wearing it. But the ring is sooooo much better. I love tracking my sleep and my cycle. I get excited to wake up and check my sleep score every day. The battery life is amazing. I’ve had the ring about 2 months now and I’ve charged it 3 times for about 30 minutes each and that is all. I also get compliments all the time on how thin the ring is and how my friends with the other big brand wish they had done more research and got this one. 10/10 recommend!","","2025-05-29T14:29:23.000Z",""
"I love the diagnostic aspect of the…","I love the diagnostic aspect of the ring and everything it tells me about my health.","","2025-05-29T02:01:22.000Z",""
"I got a Ringconn for my birthday last…","I got a Ringconn for my birthday last August. The reason I chose it is because this ring is one of the few that doesn't charge you a monthly subscription charge. I think the app is robust and it tracks a bunch of good information and feedback. My wife liked it so much she asked for one for her birthday, so that is what I got her. We now compare stats at breakfast.","","2025-05-28T23:48:28.000Z",""
"I received the ring","I received the ring, It will not pair with phone app. There is no way to get in touch with a technician. My $300 ring just sits in the box. I can't even find out how to mail it back.","","2025-05-28T15:50:54.000Z",""
"Long lasting and useful analysis","Date of experience: April 16, 2025","","2025-05-28T11:07:29.000Z",""
"Wonderful customer service","Wonderful customer service! Had little issues with sizing but the supporting team was super helpful and got offered a new ring within just a few days.","","2025-05-28T09:31:50.000Z",""
"RingConn air gen 2","Good product. Build quality could be better. Stainless steel scratches easily.","","2025-05-28T06:17:11.000Z",""
"Great Smart Ring","Exactly what I was looking for, used to have Apple Watch but my wrist keeps hurting. So far this thing does its job, besides that it’s freaking durable. And no subscription needed to top it off👍🏼","","2025-05-28T03:34:41.000Z",""
"","Many things to like about this ring - comfortable, excellent battery life, free app with great info, overall performs it consistently well. I like the workout tracking for walking/running and how it sSee more","","2025-06-09T13:19:18.000Z",""
"","Love the ring for the most part. The exercise category could use some improvement. There’s not many exercises to choose from (run, walk, cycle) and it does not transfer data from Apple health. It lookSee more","","2025-06-09T12:04:32.000Z",""
"","After using the RingConn Gen2 for one week I find it to be inaccurate in many aspects particularly step count as compared to both my Apple Watch and iPhone. I also found that the O2 saturation levels See more","","2025-06-06T11:36:19.000Z",""
"","The RingConn rings are working wonderfully! Long battery life and pretty accurate readings compared to our pixel 3 watches. We both have sleep Apnea and the incite into our sleep history is very helpfSee more","","2025-05-29T17:54:31.000Z",""
"Good fit and battery lasts as long as it is supposed to! I love mine","Love that you don’t have to pay for a subscription for the app and it is so accurate. Fits great.","","2025-05-27T16:07:46.000Z",""
"Reasonably good service","Representative reviewed the data and processed my rebate. Only complaint is that receipt of return was not provided automatically.","","2025-05-27T03:08:17.000Z",""
"Urgently needed improvements","Good points:
Useful data,
Long battery life,
Easy to handle ring,

What’s missing:
Überblick der fünf vitalzeichen (german)
I don’t see a possibility to visualize historic data diagrams for (Day, week, month, year) of the five vital values (vitalzeichen)

What’s to Much:
The textual explanations are boring. Permanently repeating the same Text modules. I do not need them, But I can’t disable them, Please change it.

I can’t disable Messages from Rincon, That I’m too long in bed and not moving.
But I’m just reading and working.

Accuracy
the heart rate measurement bpm It’s not reacting fast enough while In training mode. It should permanently measure my heart so that I can know when I should slow down. My Apple Watch reacts much faster when my heart rate increases or decreases again due to greater exertion during training. I wouldn’t bother if the battery life would be much shorter through training sessions.","","2025-05-27T00:08:35.000Z",""
"Sleep monitoring","I bought the ring mainly for sleep monitoring. It does not appear to be very accurate. REM and deep sleep are probably close but awake is classified as light sleep often.","","2025-05-26T22:39:04.000Z",""
"I like the ring but it could use more…","I like the ring but it could use more exercise options","","2025-05-26T17:52:47.000Z",""
"The ring itself is excellent","The ring itself is excellent, light weight, long battery life and more importantly provides key health metrics. Although the android app is very good, the exercise types it's able to track should be improved and should include integration with Health Connect.","","2025-05-26T16:46:54.000Z",""
"love the weight","love the weight, design, and the length of the charge but very disappointed that the only activity choices are walking, indoor/outdoor running, and indoor/outdoor biking. Also disappointed you can’t add them after the fact so you have to have your phone to start and stop activity.","","2025-05-26T14:04:37.000Z",""
"I ordered the wrong size ring guards…","I ordered the wrong size ring guards not knowing your sizing ran small. You want me to pay a fee to exchange them.","","2025-05-26T13:23:59.000Z",""
"Very Happy","Order the ring was very simple and straight forward, the sizing kits are true to their size as well. Ring itself works very well, with fantastic battery life, and made with premium durable materials.","","2025-05-26T08:06:41.000Z",""
"Battery life is the best part by far","Date of experience: April 28, 2025","","2025-05-26T05:27:26.000Z",""
"Customer service was very responsive…","Customer service was very responsive and so easy to work with. Thank you!","","2025-05-25T22:24:49.000Z",""
"The ring dosent track sleep as…","The ring dosent track sleep as accurately as I would like due to it being the main reason for the purchase, th colour was disappointing as it was browner in person compared to described and this week after having the ring for less then a week the charger broke.","","2025-05-25T10:46:30.000Z",""
"Im actually really positively surprised","Im actually really surprised - only positive feedback - shipping was extremely fast for sizing kit and ring likewise, the new app is well designed and has good overview and indepth data as well :) has spotted a few stressful days and also a light cold I caught. All in all I love it","","2025-05-24T23:49:17.000Z",""
"Great product","Easy to order. Sent sizers quickly. Once determined the size just select size ring it was shipped quickly. Easy set up and have enjoyed wearing ring and looking at the data. Product does what it says it will do.","","2025-05-24T22:47:36.000Z",""
"Ring size corrected upon notification","Worked with Ring to resolve an issue I had with sizing and they were quick to handle and secure the right size. I just wish the Ring sizer kit had been precise. I purchased it to make sure abba doing that the plastic ring size kit would wasn’t reliable for me. It could be that my fingers were swollen the day I tried, though. Nonetheless, Ring made it right and I am grateful for that.","","2025-05-24T22:05:18.000Z",""
"Exceptional Product and Customer Service – A Truly Outstanding Experience","I've been a dedicated supporter of RingConn since December 2022, initially backing them through their Indiegogo campaign. From the very beginning, their communication has been nothing short of excellent—clear, consistent, and timely.

Over time, I've watched the RingConn Android app evolve through multiple updates, each bringing meaningful improvements. The biometric insights provided by the ring have been both valuable and informative, helping me better understand and monitor my health.

When RingConn released Version 2 of their smart ring in September 2024, I didn’t hesitate to place an order. The purchasing experience was seamless, and once again, their communication throughout the process was top-tier.

In April 2025, I reached out to their customer support team with a question. I was blown away—not only does RingConn offer what I believe to be the best smart ring on the market (especially considering its competitive price, lack of a subscription fee, and robust health tracking features), but their customer support is truly outstanding. Their responses were prompt, clear, and reliable. Most impressively, when they say they’ll follow up—they actually do.

My experience with both the product and the support team has far exceeded my expectations. I wholeheartedly recommend RingConn to anyone looking for a high-quality smart ring backed by exceptional service.","","2025-05-24T15:37:36.000Z",""
"Have had 2 version of another common…","Have had 2 version of another common ring. This one is so much better. More features and app is much more useful","","2025-05-23T19:24:46.000Z",""
"Ring did not work...you can only…","Ring did not work...you can only communicate with them via email to china...they didn't credit my cc after the item was returned... overall a bad experience...DO NOT BUY!!!!","","2025-05-23T18:42:17.000Z",""
"Thank you!","Thank you for quickly resolving my issue.","","2025-05-23T17:56:04.000Z",""
"The dune gold is a much more coppery…","The dune gold is a much more coppery gold than I had anticipated, which isn't a huge deal. I love the app integration and the overall UI which makes it easy to navigate and see the views most important to me. It's been a good month or so wearing so far and haven't had any issues with wearing it.","","2025-05-23T17:48:28.000Z",""
"","Many things to like about this ring - comfortable, excellent battery life, free app with great info, overall performs it consistently well. I like the workout tracking for walking/running and how it sSee more","","2025-06-09T13:19:18.000Z",""
"","Love the ring for the most part. The exercise category could use some improvement. There’s not many exercises to choose from (run, walk, cycle) and it does not transfer data from Apple health. It lookSee more","","2025-06-09T12:04:32.000Z",""
"","After using the RingConn Gen2 for one week I find it to be inaccurate in many aspects particularly step count as compared to both my Apple Watch and iPhone. I also found that the O2 saturation levels See more","","2025-06-06T11:36:19.000Z",""
"","The RingConn rings are working wonderfully! Long battery life and pretty accurate readings compared to our pixel 3 watches. We both have sleep Apnea and the incite into our sleep history is very helpfSee more","","2025-05-29T17:54:31.000Z",""
"I like this ring a lot","I like this ring a lot. Especially that no subscription is required. It's much more accurate than my Samsung smart watch with regard to blood O2 and more comfortable to wear at night. I see 2 areas for improvement. It would be nice if it 'talked' to the watch/watch software. Also it needs to come in 1/2 sizes. I've had to add a small piece of mounting tape to the underside of the top to keep it from constantly rolling around my finger. However the next size smaller was nearly impossible to get off my finger if my hand was warm so I sized 1 up.","","2025-05-23T15:36:07.000Z",""
"Great device and it tracks what I need","Great device and it tracks what I need","","2025-05-23T14:46:04.000Z",""
"Great communication with the company","Great communication with the company, as my 1st. Gen. Ring develop problems
The new ring has amazing battery life! The new ring is smaller in width.","","2025-05-23T14:33:43.000Z",""
"Best experience with the company and…","Best experience with the company and the product, fast and free delivery to EU and free sizing kit.
Only one disadvantage that you can not track workouts like pilates, Joga etc. only running, cycling or walking.","","2025-05-23T12:57:22.000Z",""
"Awful","Awful. If I could give a no star I would. I returned my rings and never receive a refund. They have been siting at the address I sent to for a month. And of course after I sent them back no response to any of of emails","","2025-05-23T12:03:53.000Z",""
"love my ringconn 2","The whole process was easy! My sizing kit arrived after 10 days and my ring arrived after only 8 days! I love tracking my sleep","","2025-05-23T11:06:53.000Z",""
"The Customer Service was great my only…","The Customer Service was great my only issue was the ring sizes are too small and there is no larger options available.","","2025-05-23T10:24:04.000Z",""
"Great fitness ring","Good fitness ring , I previously used an Apple Watch and this is more accurate with both the HR and CO2 readings. The ring battery is great it lasts 10 days between charges","","2025-05-23T09:40:21.000Z",""
"Incredible Ring!","Fast shipping! Incredible product! And the app is amazing too! I can barely feel version 2 on my finger compared to version 1.","","2025-05-23T08:36:47.000Z",""
"Incredibly slow to replace a defective…","Incredibly slow to replace a defective ring. Very disappointing.","","2025-05-23T06:36:35.000Z",""
"The product design and assembly are…","The product design and assembly are beautiful and pleasing, but the walking tracking function seems to be more than it actually is.","","2025-05-23T05:02:08.000Z",""
"A sleek ring with great features","I’ve been using the RingConn Gen 2 Smart Ring for several weeks now, and I am very happy with it. I never expected the ring to be perfect and there is nothing like a visit to your healthcare provider however, with my experience using the RingConn, I am very satisfied with the close to accurate information I get. The information it provides me keeps me on track with my wellness goals. I especially like the sleep feature, which allows me to see my sleeping patterns and how to improve them. The ring provides various features and although I might not utilize them all, I am glad they are available. I did research on the different health rings available in the market and felt that this particular model of ring would best suit my needs.
The RingConn Gen 2 Smart Ring is a compelling choice for those seeking a high quality health monitoring device without the burden of subscription fees. Its exceptional battery life, comfortable design, and health tracking features make it a worthwhile purchase. While I have experienced some limitations in fitness tracking the overall value it offers has far exceeded my expectations.","","2025-05-23T01:21:53.000Z",""
"Nice to have a monitor for sleeping","Nice to have a monitor for sleeping. Counts the hrs even though I get up often. Checks oxy level every 30 min, too.","","2025-05-22T19:42:32.000Z",""
"my ring is too small and you dont make…","my ring is too small and you dont make a bigger ring for me !
Let me know when I can send this one in and you send me a bigger one when you make one","","2025-05-22T14:19:37.000Z",""
"This ring is awesome","This ring does everything I wanted it to and more. The amount of information is amazing.","","2025-05-22T05:51:45.000Z",""
"Love this ring","Love this ring, keeps track of so much! My only complaint is the charger, it does not fit in a usb port, need to do better!","","2025-05-21T23:28:27.000Z",""
"So far has being a good product","So far has being a good product, good quality and measurement of data","","2025-05-21T16:09:11.000Z",""
"fast and excellent service.","Date of experience: April 14, 2025","","2025-05-21T15:46:19.000Z",""
"Very Satisfied","Comfortable, good data, excellent battery life. Sleep accuracy can be impacted if the ring rotates on my finer and the sensors aren’t positioned at the bottom. With that issue in mind, it would be helpful if there were a stamp or mark of some sort so that I could easily tell if the ring is properly positioned.","","2025-05-21T15:22:18.000Z",""
"Still waiting for a charging dock that…","Still waiting for a charging dock that works. I may have to return the entire package and buy from someone else.","","2025-05-21T13:17:14.000Z",""
